sellerID,productID,price
801448,742039413,660.0
918550,742039413,660.0
170164,742039413,660.0
131747,742039413,660.0
623060,742039413,660.0
145785,742039413,660.0
739983,742039413,660.0
124892,742039413,660.0
167274,742039413,660.0
375793,742039413,660.0
138274,742039413,660.0
110102,742039413,660.0
769397,742039413,660.0
121087,742039413,660.0
127822,742039413,660.0
108063,742039413,660.0
151714,742039413,660.0
106931,34034481,1099.0
243893,34034481,1175.0
127448,34034481,1173.0
327936,797674419,229.9
823834,34034481,1299.0
468037,34034481,1499.0
280994,34034481,1499.0
556299,34034481,1555.0
441542,34034481,1600.0
853861,34034481,1599.0
313080,34034481,1700.0
111965,34034481,1750.0
636378,34034481,1899.0
566427,34034481,1999.0
708107,34034481,2099.0
968,138481800,844.13
668231,138481800,1170.0
638264,138481800,1195.0
901032,138481800,1190.0
313585,138481800,1195.0
581644,138481800,1199.0
509602,138481800,1200.0
763942,138481800,1179.0
766824,138481800,1279.99
886953,138481800,1240.0
781040,138481800,1241.0
909756,138481800,1240.0
819642,138481800,1240.0
298152,138481800,1299.0
238381,138481800,1241.0
694382,138481800,1279.0
365957,138481800,1299.0
705122,138481800,1280.0
391109,138481800,1315.0
927277,138481800,1320.0
380704,138481800,1375.0
877103,138481800,1399.0
867842,138481800,1444.0
307135,138481800,1444.0
770898,138481800,1489.0
935656,138481800,1399.0
863829,138481800,1599.0
640802,138481800,1600.0
727277,138481800,1625.0
791198,138481800,1650.0
867998,138481800,1699.0
500290,138481800,1699.0
896392,138481800,1570.0
696375,138481800,1699.0
131724,244126728,1499.0
119576,750865819,386.0
619779,670250436,2199.9
470825,283162803,179.99
302568,798719061,389.0
298,780872702,594.9
104736,196815741,799.0
211217,309304836,2759.0
168061,214704433,239.0
706692,309304836,2749.0
110032,309304836,3299.0
477060,309304836,3297.0
693000,309304836,3399.0
934008,309304836,3499.0
109145,747040882,1402.39
104736,196410311,799.0
653801,32445419,280.0
631733,32445419,280.0
128490,32445419,289.0
468921,32445419,299.0
255802,32445419,305.0
193957,32445419,304.0
112692,32445419,310.0
120268,39236507,2285.0
114548,32445419,312.0
654852,39236507,2299.0
601705,32445419,339.0
106321,39236507,2899.0
153143,39236507,2929.0
243348,39236507,2980.0
157421,39236507,4662.0
968,762915631,32005.5
338941,762915631,35499.0
280994,762915631,38999.0
252467,762915631,39999.0
434240,762915631,39999.0
677575,777260293,2304.0
666925,637301305,374.21
112044,773547809,990.0
243130,52184396,247.0
104683,52184396,249.0
106540,52184396,279.0
107656,52184396,285.0
288447,52184396,299.0
283680,52184396,299.0
148819,52184396,299.0
390275,52184396,289.0
105337,52184396,319.0
644334,815244169,238.29
455242,816492610,274.33
209914,49640396,2600.0
204858,145239979,199.0
315582,83828129,307.94
490023,37589905,279.0
756867,37589905,288.0
